"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-06-05 09:00:00 NA NA NA 7.39276232419741
2017-06-05 10:00:00 26.753628898733 NA NA 7.03809934335582
2017-06-05 11:00:00 23.4147804593287 NA NA 7.48187310973322
2017-06-05 12:00:00 NA NA NA 7.85688840296077
2017-06-05 13:00:00 NA NA NA 8.31950839145563
2017-06-05 14:00:00 13.4489900750522 NA NA 9.55148416154055
2017-06-05 15:00:00 29.3095299072575 NA NA 9.62559049392338
2017-06-05 16:00:00 NA NA NA 7.371946128362
2017-06-05 17:00:00 11.8498628020736 NA NA 7.9506458271023
2017-06-05 18:00:00 10.9002453764117 NA NA 8.36120248047304
2017-06-05 19:00:00 8.13449748346572 NA NA 6.54601839651651
2017-06-05 20:00:00 6.09798769348956 NA NA 6.72334177808471
2017-06-05 21:00:00 7.21409851995596 NA NA 7.88074554050826
2017-06-05 22:00:00 6.32867170490936 NA NA 6.98537400425903
2017-06-05 23:00:00 7.04318548168667 NA NA 6.31786539648532
2017-06-06 00:00:00 5.02827450889457 NA NA 7.94605442262097
2017-06-06 01:00:00 7.07693892581447 NA NA 7.56382383959392
2017-06-06 02:00:00 6.62452109550577 NA NA 7.45890450881919
2017-06-06 03:00:00 8.75174601065626 NA NA 6.04065187590463
2017-06-06 04:00:00 6.37955744555549 NA NA 6.52410078347138
2017-06-06 05:00:00 7.89631670098172 NA NA 7.49945329231985
2017-06-06 06:00:00 10.0091428510425 NA NA 8.42005808572714
2017-06-06 07:00:00 9.27266582299902 NA NA 5.97454497047991
2017-06-06 08:00:00 7.30249714293059 NA NA 7.75435134675358
2017-06-06 09:00:00 14.7285004767535 NA NA 8.97050182784156
2017-06-06 10:00:00 10.3903185488809 NA NA 9.8857433099763
2017-06-06 11:00:00 11.9861053345371 NA NA 9.45732177536198
2017-06-06 12:00:00 14.9269863657594 NA NA 8.36817974682065
2017-06-06 13:00:00 15.2289198263964 NA NA 9.15540018352108
2017-06-06 14:00:00 14.5515550252296 NA NA 8.54790033294465
2017-06-06 15:00:00 14.2280530148204 NA NA 10.4242978605497
2017-06-06 16:00:00 14.1876466675613 NA NA NA
2017-06-06 17:00:00 14.9523963626685 NA NA 6.28408604367169
2017-06-06 18:00:00 11.5509305026109 NA NA 6.18702800217702
2017-06-06 19:00:00 9.48344123793396 NA NA 6.56234000184298
2017-06-06 20:00:00 7.39193609958478 NA NA 6.73613424709789
2017-06-06 21:00:00 5.76189681912321 NA NA 6.51980767641417
2017-06-06 22:00:00 6.05272188717636 NA NA 5.81536583107529
2017-06-06 23:00:00 6.63245786790393 NA NA 6.89663705154291
2017-06-07 00:00:00 7.06340803876036 NA NA 8.94951171445429
2017-06-07 01:00:00 7.16580157365814 NA NA 9.17713691039846
2017-06-07 02:00:00 7.65134091799157 NA NA 12.7408506974315
2017-06-07 03:00:00 8.98382971698241 NA NA 7.41161367001698
2017-06-07 04:00:00 6.67299313434156 NA NA 8.56489105248216
2017-06-07 05:00:00 8.84699579056777 NA NA 9.80821826543226
2017-06-07 06:00:00 6.87683262652704 NA NA 12.244388178175
2017-06-07 07:00:00 6.94467911509708 NA NA 12.107266345999
2017-06-07 08:00:00 7.17588481259668 NA NA 13.6032652470971
2017-06-07 09:00:00 5.53892764977587 NA NA 9.60740827086155
2017-06-07 10:00:00 NA NA NA 15.9954791865546
2017-06-07 11:00:00 NA NA NA 11.0557992609802
2017-06-07 12:00:00 NA NA NA 9.54921435979216
2017-06-07 13:00:00 NA NA NA 8.67614556951491
2017-06-07 14:00:00 NA NA NA 12.8534616179242
2017-06-07 15:00:00 NA NA NA 6.85652490815756
2017-06-07 16:00:00 NA NA NA 8.0808049655203
2017-06-07 17:00:00 NA NA NA 6.72835913793976
2017-06-07 18:00:00 NA NA NA 7.11251557379523
2017-06-07 19:00:00 NA NA NA 9.6399757097875
2017-06-07 20:00:00 NA NA NA 9.96103813309858
2017-06-07 21:00:00 NA NA NA 9.38420024738107
2017-06-07 22:00:00 NA NA NA 9.59954527449265
2017-06-07 23:00:00 NA NA NA 7.59231074252505
2017-06-08 00:00:00 NA NA NA 8.29922223420855
2017-06-08 01:00:00 NA NA NA 7.93167567077461
2017-06-08 02:00:00 NA NA NA 7.45948363555911
2017-06-08 03:00:00 NA NA NA 12.740973837155
2017-06-08 04:00:00 NA NA NA 9.11351776209068
2017-06-08 05:00:00 NA NA NA 16.1267058372517
2017-06-08 06:00:00 NA NA NA 13.4785819618559
2017-06-08 07:00:00 NA NA NA 17.2664042662876
2017-06-08 08:00:00 NA NA NA 10.2911957074923
2017-06-08 09:00:00 NA NA NA 13.0786501125938
2017-06-08 10:00:00 NA NA NA 10.10710710098
2017-06-08 11:00:00 NA NA NA 16.7648792704391
2017-06-08 12:00:00 NA NA NA 13.3721356069633
2017-06-08 13:00:00 NA NA NA 8.35940906632701
2017-06-08 14:00:00 NA NA NA 6.34227451864836
2017-06-08 15:00:00 NA NA NA 11.7594031998821
2017-06-08 16:00:00 NA NA NA 7.10669532878399
2017-06-08 17:00:00 NA NA NA 8.64931336437649
2017-06-08 18:00:00 NA NA NA 7.75740920984531
2017-06-08 19:00:00 NA NA NA 6.69163888439124
2017-06-08 20:00:00 NA NA NA 7.00266506710457
2017-06-08 21:00:00 NA NA NA 7.09368008590959
2017-06-08 22:00:00 NA NA NA 9.01764391238972
2017-06-08 23:00:00 NA NA NA 8.17531082597818
2017-06-09 00:00:00 NA NA NA 9.05270787756622
2017-06-09 01:00:00 10.1053533687339 NA NA 8.20047948954451
2017-06-09 02:00:00 7.03834166153453 NA NA 8.28750625452796
2017-06-09 03:00:00 6.20090088238329 NA NA 8.13153918303741
2017-06-09 04:00:00 6.9023354169732 NA NA 15.5910502921738
2017-06-09 05:00:00 6.08097832557771 NA NA 7.45246895353863
2017-06-09 06:00:00 6.62318199815846 NA NA 8.27786129751142
2017-06-09 07:00:00 5.50648943971862 NA NA 9.2962780921953
2017-06-09 08:00:00 10.6491868780039 NA NA 12.221915265769
2017-06-09 09:00:00 10.5821084594982 NA NA 11.7284830759673
2017-06-09 10:00:00 11.8552493088233 NA NA 12.8253526979906
2017-06-09 11:00:00 18.0228594723347 NA NA 10.5385616562681
2017-06-09 12:00:00 17.3943102910608 NA NA 10.5810939854259
2017-06-09 13:00:00 18.2085289564108 NA NA 8.87332968962467
2017-06-09 14:00:00 17.1180256968336 NA NA 9.3444673002457
2017-06-09 15:00:00 17.3215118166327 NA NA 8.5997921901538
2017-06-09 16:00:00 21.6678399662135 NA NA 7.6723919751094
2017-06-09 17:00:00 18.0365337223512 NA NA 6.92449940268385
2017-06-09 18:00:00 15.8616816315253 NA NA 7.8992974540417
2017-06-09 19:00:00 11.2583315425152 NA NA 6.32706081057596
2017-06-09 20:00:00 6.98753020201915 NA NA 6.90134953794102
2017-06-09 21:00:00 7.23838394567636 NA NA 9.0340988861497
