"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-07-14 20:00:00 186.154433236404 263.084080553727 169.187493457787 208.301540482448
2017-07-15 20:00:00 202.098604782128 300.125984611944 171.619511942014 240.803225388791
2017-07-16 20:00:00 212.531126708129 306.613707014535 180.70353121011 244.167786985528
2017-07-17 20:00:00 221.95621681984 301.059864524732 184.085997197259 235.158870020017
2017-07-18 20:00:00 118.355254312533 296.438056853622 178.060824319655 244.795340213571
2017-07-19 20:00:00 201.338373980086 283.094463532817 171.363491236939 231.354005691059
2017-07-20 20:00:00 150.273969768337 241.359094629704 175.676455718735 226.292103978719
2017-07-21 20:00:00 140.958754599081 229.705457698739 171.618848483154 215.260414650187
2017-07-22 20:00:00 142.33387494763 197.343232365363 165.871445531579 206.664225766064
2017-07-23 20:00:00 177.572822122529 260.075877399663 176.879013529509 241.468799280385
2017-07-24 20:00:00 108.240552905129 146.024513305571 124.678712524299 150.364651050827
2017-07-25 20:00:00 NA NA NA NA
2017-07-26 20:00:00 NA NA NA NA
2017-07-27 20:00:00 NA NA NA NA
2017-07-28 20:00:00 141.786318776138 NA NA NA
2017-07-29 20:00:00 174.807885384058 NA NA NA
2017-07-30 20:00:00 185.669420149854 NA NA NA
2017-07-31 20:00:00 206.340629785114 NA NA NA
2017-08-01 20:00:00 190.305227975622 NA NA NA
2017-08-02 20:00:00 116.374488746227 NA NA NA
2017-08-03 20:00:00 NA NA NA NA
2017-08-04 20:00:00 NA NA NA NA
2017-08-05 20:00:00 NA NA NA NA
2017-08-06 20:00:00 NA NA NA NA
2017-08-07 20:00:00 NA NA NA NA
2017-08-08 20:00:00 NA NA NA NA
2017-08-09 20:00:00 NA 18.1138411295464 17.3399349667745 33.1458238079117
2017-08-10 20:00:00 NA 253.739833709821 162.452919452017 207.597122377188
2017-08-11 20:00:00 123.751456268383 256.477055445756 150.84747198827 216.556402923623
2017-08-12 20:00:00 139.515787647736 266.062953865503 162.542977847798 244.388328205552
2017-08-13 20:00:00 65.5562195238166 220.369202674355 165.446302981355 197.065795695305
2017-08-14 20:00:00 106.755658863718 257.339838139182 158.321886022657 210.211118435775
2017-08-15 20:00:00 99.4332853365288 234.858673016378 164.588474215213 213.439608370587
2017-08-16 20:00:00 56.7269288616563 124.52323667963 116.338293759002 133.679940031617
2017-08-17 20:00:00 NA 199.291082947771 147.581199082968 209.120957882485
2017-08-18 20:00:00 189.824108278796 281.337428256462 147.891385403991 237.247478077082
2017-08-19 20:00:00 264.471754884726 274.812417108429 149.450513038277 237.854129424491
2017-08-20 20:00:00 251.523491609914 246.604427208081 144.026812583505 218.474239994966
2017-08-21 20:00:00 245.800491918989 262.577393177962 145.080819912211 212.569676395954
2017-08-22 20:00:00 234.762887313712 245.039267492559 156.365408011098 217.37423742801
2017-08-23 20:00:00 209.050615245526 234.365453412833 89.8215852574566 124.23766684137
2017-08-24 20:00:00 NA 247.527408676808 NA NA
2017-08-25 20:00:00 NA 229.799609066863 NA NA
2017-08-26 20:00:00 NA 240.315721130752 NA NA
2017-08-27 20:00:00 NA 220.97693027835 NA NA
2017-08-28 20:00:00 NA 212.110606540308 NA NA
2017-08-29 20:00:00 NA 223.274737087241 NA NA
2017-08-30 20:00:00 NA 144.871855739696 NA NA
2017-08-31 20:00:00 10.3872286582253 178.056847219499 NA NA
2017-09-01 20:00:00 173.58450619286 187.986455478693 NA NA
2017-09-02 20:00:00 183.476731259036 196.179815789078 5.09520194919767 7.7750099887069
2017-09-03 20:00:00 214.377084473043 222.359329231428 171.46673167339 204.072449812577
2017-09-04 20:00:00 149.594985710075 183.088601523132 156.24371469193 177.842040949699
2017-09-05 20:00:00 159.363192676972 182.096137614594 164.126302621533 182.294948180049
2017-09-06 20:00:00 186.427235131509 224.579844565063 139.959726929252 198.047570673979
2017-09-07 20:00:00 217.039968151013 241.358943368553 155.412192304068 199.768997248563
2017-09-08 20:00:00 195.159597566341 226.967667023642 127.370566622717 202.245989177751
2017-09-09 20:00:00 135.014503891032 165.698684263659 106.880155598221 130.922724601554
2017-09-10 20:00:00 15.3971529176163 230.409741439704 176.633873584216 207.817970085571
2017-09-11 20:00:00 204.863942242689 226.851359576418 178.380073693281 207.16079586537
2017-09-12 20:00:00 201.017529222283 223.790013909232 182.614095471613 204.428625199781
2017-09-13 20:00:00 157.816288211303 201.963738243406 172.472390775286 179.89945101301
2017-09-14 20:00:00 156.717043501789 186.277194609463 180.489075718876 178.323084546964
2017-09-15 20:00:00 196.842357360683 222.643357762353 185.724048880877 197.290688294694
2017-09-16 20:00:00 95.0527501532531 130.982186276516 102.689888884978 103.978922113211
2017-09-17 20:00:00 NA 224.164752804667 160.253481204602 198.657894469738
2017-09-18 20:00:00 199.930648198074 230.93069238004 167.780779181145 177.140217958779
2017-09-19 20:00:00 193.179006189301 222.789173393332 171.778984087755 183.362309449457
2017-09-20 20:00:00 193.320679355873 227.381680230029 174.27303438183 185.936320740503
2017-09-21 20:00:00 201.64729082061 240.942810910434 174.908786205159 194.684263829059
2017-09-22 20:00:00 211.71425224209 252.929029537476 177.158844563875 225.025384959552
2017-09-23 20:00:00 132.918301922213 212.442891888399 112.898909342284 132.812577275217
2017-09-24 20:00:00 NA NA NA NA
2017-09-25 20:00:00 NA NA NA NA
2017-09-26 20:00:00 NA NA NA NA
2017-09-27 20:00:00 NA NA NA NA
2017-09-28 20:00:00 NA NA NA NA
2017-09-29 20:00:00 NA NA 12.0881994996639 20.2141964914779
2017-09-30 20:00:00 NA 259.66705934686 182.19188795658 169.202929017421
2017-10-01 20:00:00 NA 245.351139371397 186.961781183169 177.00684327332
2017-10-02 20:00:00 NA 244.95378892673 153.568255527432 168.727118464112
2017-10-03 20:00:00 NA 225.908524012518 170.929360654349 172.96639249334
2017-10-04 20:00:00 NA 204.830206965098 170.667819776563 168.901178691247
2017-10-05 20:00:00 NA 208.140531256065 164.204942184141 167.817918047096
2017-10-06 20:00:00 NA 207.256162993637 178.696295030867 176.648777708096
2017-10-07 20:00:00 141.22553239969 183.627945301898 157.817777341197 159.987010888339
2017-10-08 20:00:00 161.32726687683 197.2987526242 157.296922775761 154.17118682669
2017-10-09 20:00:00 155.16833424918 189.616082609882 175.105397075398 157.738347408796
2017-10-10 20:00:00 160.710824492651 201.346130624391 186.663045473282 161.929594373966
2017-10-11 20:00:00 154.23994546902 198.548305784497 187.804578075954 180.177521687853
2017-10-12 20:00:00 143.082851984339 163.385969557505 182.58145137768 173.066514045355
2017-10-13 20:00:00 157.505930058844 NA 193.523312558915 182.299908186701
2017-10-14 20:00:00 159.137356649798 NA 176.261984125261 167.723255921135
2017-10-15 20:00:00 167.321975279071 NA 195.936427184893 178.145395898662
2017-10-16 20:00:00 159.095664221184 NA 174.238168091414 165.842807107235
2017-10-17 20:00:00 162.7914807271 NA 171.758699299395 179.712066026464
2017-10-18 20:00:00 94.3602995988902 NA 98.9626973242122 101.424688945061
